"Table 2.7B. Wages and Salaries by Industry, Monthly"
"Table 2.7B. Wages and Salaries by Industry, Monthly"
"Last Revised on: December 5, 2025"
Line,,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,"        Wages and salaries",4956.7,4984.4,4997.3,4972.0,4958.0,4954.2,4943.1,4934.5,4930.2,4930.2,4938.8,4944.2,4938.3,4939.5,4959.8,4977.2,4995.2,5022.6,5000.6,5012.7,5023.1,5024.2,5029.0,5028.0,5012.4,5021.3,5047.3,5065.7,5108.4,5130.0,5142.3,5169.5,5194.3,5233.0,5271.0,5264.0,5264.9,5267.5,5291.1,5331.2,5395.4,5415.6,5465.3,5498.1,5514.9,5532.5,5527.5,5548.3,5562.5,5577.5,5583.9,5616.7,5635.1,5661.8,5716.1,5734.7,5764.0,5795.2,5813.5,5835.6,5929.4,5981.5,6003.2,6025.6,5996.9,6015.4,6042.3,6054.4,6089.0,6126.9,6171.7,6244.6,6302.9,6351.7,6376.6,6369.8,6362.4,6378.8,6388.5,6382.0,6422.2,6431.2,6474.7,6515.8,6518.9,6536.7,6562.6,6530.5,6532.7,6534.8,6532.3,6550.9,6558.2,6579.9,6538.2,6433.4,6287.4,6211.3,6178.0,6235.4,6264.2,6263.8,6238.2,6238.2,6235.3,6259.0,6289.3,6289.2,6246.2,6211.2,6242.4,6315.6,6384.0,6382.5,6410.2,6427.8,6429.5,6458.3,6461.6,6500.9,6553.2,6586.6,6592.1,6594.9,6598.9,6630.8,6696.0,6680.7,6668.2,6629.7,6605.0,6678.1,6781.0,6848.6,6879.3,6891.0,6861.9,6875.0,6863.1,6886.6,6968.5,7003.2,7092.1,7187.1,7050.9,7040.6,7040.1,7073.1,7108.0,7127.8,7093.9,7113.5,7131.1,7146.1,7199.7,7243.2,7310.3,7361.0,7404.5,7399.4,7403.9,7424.8,7457.7,7508.1,7543.2,7584.4,7640.2,7678.3,7717.9,7752.2,7768.5,7796.3,7840.7,7855.4,7884.0,7908.5,7916.4,7946.6,7953.5,7973.8,7991.6,7984.3,8002.3,8026.6,8030.8,8060.2,8102.7,8105.9,8149.4,8188.1,8208.6,8244.5,8286.9,8318.0,8328.0,8371.6,8396.3,8438.4,8481.0,8508.2,8565.6,8614.7,8673.5,8710.7,8750.1,8759.1,8778.4,8811.8,8836.5,8882.0,8933.7,8982.0,8991.4,8990.9,9009.1,9073.0,9164.1,9219.8,9281.9,9274.2,9261.0,9284.8,9283.3,9338.9,9364.8,9441.7,9494.9,9492.3,9644.3,9731.7,9506.8,8706.4,9018.3,9269.8,9345.4,9443.1,9514.9,9713.5,9823.5,9866.5,9894.1,9838.8,9902.7,10059.3,10171.6,10281.0,10390.8,10439.7,10521.1,10665.8,10766.4,10848.2,10834.3,10899.3,10942.4,10959.0,10991.5,11033.9,11196.6,11275.2,11362.3,11333.4,11319.8,11325.4,11442.8,11480.6,11514.3,11580.1,11633.7,11710.8,11784.6,11838.8,11885.0,11912.6,11974.0,12031.4,12062.7,12158.0,12227.9,12260.0,12334.5,12357.0,12398.8,12465.7,12510.7,12566.8,12632.4,12680.8,12721.7,12787.0,12857.3,12911.4,12956.6,12967.4,13042.0,13088.6,13136.9
2,Private industries,4158.8,4182.4,4191.8,4162.7,4145.0,4134.6,4118.6,4105.5,4097.0,4092.0,4094.9,4096.4,4086.8,4084.7,4100.7,4114.4,4126.6,4149.5,4124.5,4131.9,4140.6,4138.9,4140.5,4136.7,4116.6,4120.0,4140.9,4156.2,4197.3,4214.7,4224.1,4252.1,4276.8,4311.0,4346.9,4335.3,4332.3,4331.3,4350.1,4385.5,4447.1,4464.7,4512.0,4541.4,4555.1,4568.5,4558.9,4577.1,4587.3,4599.8,4603.2,4633.1,4648.3,4673.7,4723.6,4739.6,4765.0,4793.7,4807.6,4825.6,4918.7,4966.9,4984.7,5003.1,4971.2,4986.2,5006.5,5012.8,5040.6,5076.2,5116.1,5183.7,5236.0,5279.3,5301.1,5292.4,5282.3,5294.7,5301.0,5288.1,5322.8,5328.5,5366.5,5401.4,5399.1,5411.4,5433.2,5398.4,5397.1,5394.4,5385.7,5399.7,5402.5,5418.4,5373.6,5269.2,5124.9,5049.0,5014.4,5060.5,5089.1,5085.7,5059.7,5057.6,5057.4,5076.8,5105.3,5106.2,5061.8,5026.3,5054.4,5125.2,5182.5,5184.6,5215.3,5236.0,5242.6,5267.8,5270.4,5309.3,5360.7,5394.1,5397.9,5397.8,5400.9,5428.4,5495.9,5482.2,5473.9,5439.5,5416.8,5488.0,5584.6,5649.1,5679.2,5694.0,5667.1,5679.5,5668.1,5690.0,5769.6,5802.7,5890.6,5983.4,5845.9,5833.5,5833.0,5866.1,5901.5,5920.9,5893.6,5910.6,5919.8,5934.3,5985.3,6027.2,6091.5,6139.0,6179.7,6171.7,6174.7,6190.0,6219.0,6267.9,6297.8,6334.6,6386.4,6420.9,6457.6,6488.7,6502.7,6525.8,6567.7,6580.0,6605.5,6627.8,6635.0,6662.7,6666.5,6684.7,6700.3,6690.2,6704.4,6726.3,6727.7,6756.0,6791.3,6792.6,6831.8,6869.4,6888.5,6920.1,6958.9,6986.2,6993.3,7035.2,7056.4,7093.8,7130.6,7156.2,7208.3,7251.9,7305.9,7337.9,7373.4,7376.7,7392.9,7422.0,7442.7,7480.6,7527.9,7569.4,7575.1,7572.7,7590.2,7651.8,7742.3,7796.3,7854.7,7841.5,7827.5,7842.5,7834.2,7879.3,7896.9,7967.9,8012.6,8001.9,8140.8,8216.1,7986.1,7230.6,7562.9,7802.9,7864.9,7934.3,8007.9,8211.4,8326.6,8368.7,8388.3,8331.7,8388.2,8538.9,8646.3,8740.7,8835.0,8872.7,8950.4,9095.5,9192.4,9267.4,9246.9,9306.8,9346.1,9357.9,9386.2,9424.2,9572.2,9645.1,9724.0,9686.5,9662.0,9660.2,9764.1,9793.1,9820.2,9879.3,9923.7,9987.7,10046.4,10088.1,10122.4,10142.0,10195.7,10243.4,10263.4,10346.3,10403.2,10430.2,10496.6,10512.5,10546.8,10606.1,10642.5,10688.2,10745.6,10784.4,10817.5,10877.7,10941.9,10985.4,11028.6,11032.2,11100.2,11142.9,11184.1
3,"    Goods-producing industries",1067.4,1070.7,1071.6,1063.9,1054.0,1045.2,1043.2,1029.8,1025.8,1022.2,1020.0,1018.6,1011.0,1011.8,1015.8,1014.0,1016.4,1018.9,1010.5,1007.5,1008.0,1004.8,1004.0,1005.6,996.5,993.6,997.8,993.9,1002.7,1006.0,997.6,1005.2,1016.6,1030.5,1042.3,1034.3,1022.7,1017.5,1021.6,1033.1,1051.3,1055.5,1067.8,1076.1,1076.2,1069.1,1065.8,1071.2,1079.7,1083.8,1083.2,1087.0,1090.1,1093.5,1105.1,1112.8,1114.3,1120.9,1115.6,1116.5,1155.6,1175.7,1177.1,1172.8,1164.1,1163.3,1163.0,1163.6,1164.1,1172.6,1178.6,1195.8,1204.9,1202.6,1207.8,1215.1,1210.5,1207.2,1207.7,1197.9,1210.1,1202.3,1215.1,1222.0,1215.4,1211.9,1224.2,1210.9,1209.9,1210.4,1200.3,1199.7,1192.2,1197.7,1188.0,1154.1,1111.0,1089.4,1068.8,1063.3,1053.9,1048.0,1040.2,1038.7,1035.0,1038.8,1044.9,1042.0,1028.4,1013.3,1022.5,1039.3,1056.5,1049.9,1057.1,1063.9,1064.5,1067.5,1071.1,1076.9,1086.6,1089.6,1090.9,1090.2,1092.6,1093.8,1109.4,1110.0,1108.5,1101.2,1090.3,1110.7,1136.0,1148.7,1149.9,1158.9,1144.8,1149.3,1149.8,1145.2,1155.5,1149.8,1162.2,1194.7,1172.5,1172.9,1171.2,1177.7,1185.6,1190.5,1185.8,1193.2,1194.2,1193.4,1203.9,1209.9,1219.3,1235.6,1244.1,1242.9,1247.5,1254.8,1255.3,1264.4,1271.3,1278.7,1286.3,1289.7,1294.9,1299.1,1298.1,1300.3,1303.1,1303.6,1309.3,1313.3,1309.5,1315.4,1318.0,1316.3,1319.6,1315.4,1315.4,1318.2,1319.9,1320.0,1328.7,1327.2,1332.0,1343.7,1343.3,1351.9,1359.9,1364.1,1366.8,1374.5,1379.4,1388.5,1394.0,1398.8,1408.3,1415.9,1426.5,1430.9,1446.9,1458.4,1454.1,1456.1,1449.8,1458.2,1469.1,1477.7,1483.2,1482.9,1486.5,1504.3,1517.9,1524.9,1530.7,1531.9,1528.3,1531.3,1527.0,1529.1,1529.4,1537.9,1550.8,1555.7,1560.6,1576.3,1524.2,1372.0,1454.1,1497.4,1509.5,1512.5,1509.4,1540.1,1560.2,1571.7,1561.1,1548.6,1559.7,1573.1,1583.5,1587.3,1602.8,1608.5,1616.4,1640.3,1664.0,1677.7,1677.5,1695.3,1704.9,1708.3,1715.6,1718.0,1745.9,1757.3,1774.0,1771.6,1769.2,1765.1,1791.3,1791.1,1796.6,1813.8,1822.4,1833.9,1846.0,1853.9,1860.4,1869.9,1886.8,1879.9,1884.9,1900.9,1913.5,1917.9,1930.3,1936.2,1934.2,1941.2,1946.9,1941.7,1949.2,1953.6,1959.3,1972.9,1986.5,1985.2,1992.0,1996.1,2004.8,2005.6,2014.5
4,"        Manufacturing",742.5,740.6,737.8,733.4,721.9,712.5,711.1,698.3,695.0,691.7,689.5,686.2,678.8,678.8,682.9,683.0,686.6,688.7,680.2,677.0,676.8,674.4,673.0,673.5,667.1,666.0,669.6,663.5,669.4,670.7,663.0,668.0,675.8,686.9,695.5,687.0,677.3,672.1,672.7,680.6,692.7,693.5,702.3,708.5,708.9,703.9,699.9,702.4,706.8,705.2,702.7,704.9,706.7,706.3,711.1,714.1,713.2,719.6,713.2,712.1,732.6,742.5,742.0,739.7,733.4,732.7,733.8,733.3,732.0,736.5,737.2,749.3,753.7,751.6,753.3,757.1,752.9,749.3,751.7,744.7,750.6,741.9,750.4,755.2,749.0,747.0,752.8,744.7,745.1,748.0,742.4,740.2,734.5,737.7,729.6,708.4,683.3,673.5,663.3,665.0,657.4,653.2,648.2,648.2,649.7,656.9,664.5,663.3,653.0,641.9,650.6,664.4,678.7,672.9,678.3,681.3,684.3,687.0,690.6,696.9,702.7,704.6,706.6,703.6,704.9,702.8,712.2,710.1,707.9,706.3,697.9,710.8,725.4,731.6,730.3,738.1,729.0,732.3,733.3,729.2,734.0,727.3,734.1,757.0,741.0,740.3,738.2,741.9,744.5,747.1,743.3,749.1,749.2,747.2,753.1,758.7,762.8,771.0,778.9,772.0,775.0,777.6,776.4,781.6,785.8,790.9,796.2,797.4,800.4,803.5,803.9,804.8,805.6,806.3,808.6,811.8,809.5,811.0,811.0,809.0,812.0,809.0,806.8,809.3,810.4,809.8,815.1,813.7,814.8,821.4,819.6,825.5,829.2,830.9,832.0,838.5,839.9,843.6,845.9,848.1,852.4,859.5,864.3,865.9,877.2,879.5,876.6,878.0,869.6,876.0,883.7,888.4,890.5,890.4,893.1,900.3,905.0,908.1,911.2,911.2,910.2,911.9,905.9,905.7,906.4,911.0,925.9,930.6,929.2,935.9,902.7,823.3,874.4,906.7,903.2,895.8,887.7,914.9,935.8,944.7,936.1,931.0,937.4,945.1,956.7,957.3,960.2,957.0,953.9,972.5,991.8,1000.4,996.6,1005.7,1009.0,1013.4,1017.3,1014.4,1031.7,1039.1,1049.1,1045.2,1039.0,1030.5,1050.6,1046.1,1048.5,1058.1,1061.8,1069.9,1074.1,1076.8,1079.7,1082.2,1094.2,1083.0,1085.2,1094.6,1099.7,1099.7,1111.0,1113.8,1111.5,1114.1,1114.2,1108.2,1114.7,1118.5,1115.0,1122.8,1133.6,1127.6,1134.2,1135.6,1142.7,1141.5,1145.8
5,"    Services-producing industries",3091.4,3111.7,3120.2,3098.8,3091.0,3089.4,3075.4,3075.7,3071.2,3069.8,3074.8,3077.8,3075.8,3072.9,3084.9,3100.3,3110.3,3130.5,3114.1,3124.4,3132.7,3134.1,3136.5,3131.2,3120.2,3126.4,3143.1,3162.3,3194.6,3208.7,3226.5,3246.9,3260.2,3280.5,3304.6,3301.0,3309.6,3313.8,3328.5,3352.4,3395.9,3409.2,3444.2,3465.2,3478.9,3499.4,3493.1,3506.0,3507.7,3516.0,3520.1,3546.1,3558.1,3580.3,3618.5,3626.8,3650.7,3672.8,3692.0,3709.1,3763.1,3791.2,3807.6,3830.3,3807.1,3822.9,3843.4,3849.2,3876.5,3903.6,3937.5,3987.9,4031.1,4076.7,4093.3,4077.3,4071.8,4087.5,4093.3,4090.1,4112.7,4126.1,4151.4,4179.4,4183.7,4199.5,4209.1,4187.5,4187.2,4184.1,4185.4,4200.0,4210.3,4220.7,4185.6,4115.1,4013.9,3959.6,3945.7,3997.2,4035.2,4037.7,4019.6,4018.9,4022.4,4038.0,4060.4,4064.2,4033.4,4013.0,4031.8,4085.9,4126.1,4134.7,4158.2,4172.1,4178.1,4200.3,4199.3,4232.4,4274.1,4304.4,4307.1,4307.6,4308.2,4334.6,4386.5,4372.2,4365.3,4338.3,4326.6,4377.3,4448.6,4500.4,4529.3,4535.1,4522.4,4530.2,4518.3,4544.8,4614.1,4652.9,4728.4,4788.7,4673.4,4660.6,4661.8,4688.5,4715.9,4730.4,4707.8,4717.5,4725.7,4740.9,4781.4,4817.3,4872.2,4903.4,4935.6,4928.9,4927.2,4935.2,4963.7,5003.5,5026.5,5055.9,5100.0,5131.2,5162.7,5189.6,5204.6,5225.5,5264.6,5276.4,5296.2,5314.5,5325.5,5347.2,5348.5,5368.4,5380.7,5374.7,5389.0,5408.0,5407.8,5436.0,5462.6,5465.3,5499.8,5525.8,5545.1,5568.3,5598.9,5622.1,5626.5,5660.6,5677.0,5705.4,5736.6,5757.4,5799.9,5836.0,5879.4,5907.0,5926.4,5918.2,5938.8,5965.9,5992.9,6022.5,6058.8,6091.7,6091.9,6089.8,6103.7,6147.5,6224.3,6271.4,6324.0,6309.6,6299.2,6311.3,6307.1,6350.2,6367.5,6430.1,6461.8,6446.2,6580.2,6639.8,6461.9,5858.6,6108.8,6305.5,6355.3,6421.8,6498.5,6671.3,6766.4,6796.9,6827.2,6783.1,6828.5,6965.8,7062.8,7153.4,7232.2,7264.2,7334.0,7455.2,7528.3,7589.7,7569.4,7611.5,7641.2,7649.6,7670.6,7706.2,7826.3,7887.7,7950.1,7914.9,7892.8,7895.2,7972.8,8001.9,8023.6,8065.5,8101.2,8153.9,8200.4,8234.2,8262.1,8272.1,8308.9,8363.5,8378.5,8445.4,8489.7,8512.2,8566.3,8576.4,8612.6,8664.9,8695.7,8746.5,8796.4,8830.8,8858.2,8904.8,8955.4,9000.2,9036.6,9036.1,9095.4,9137.4,9169.7
6,"        Trade, transportation, and utilities",852.4,852.7,853.9,849.7,848.7,849.2,845.2,843.9,843.0,839.8,841.2,840.5,840.7,840.4,845.1,844.1,847.6,850.9,849.1,849.2,849.8,846.4,848.4,849.6,848.1,851.1,855.4,854.0,856.2,856.4,858.2,865.9,870.6,880.2,883.6,878.2,879.2,879.8,881.5,890.8,901.0,905.3,914.0,918.2,922.3,924.7,919.9,924.0,926.5,928.9,927.9,934.5,935.4,939.3,949.0,948.7,950.6,955.3,958.6,963.6,975.7,984.9,987.4,992.3,984.3,988.2,994.5,993.9,997.1,1003.0,1008.2,1017.5,1020.9,1032.7,1042.2,1043.9,1043.9,1049.5,1044.2,1037.3,1041.4,1048.1,1054.0,1052.9,1051.2,1055.1,1056.2,1049.1,1048.5,1048.0,1043.6,1044.3,1047.2,1047.7,1038.2,1022.8,1004.1,990.0,978.0,981.8,986.5,980.5,974.1,978.6,981.9,982.3,985.4,986.0,976.1,967.9,973.0,988.4,998.8,1000.5,1007.1,1006.6,1011.0,1014.7,1011.1,1019.2,1029.4,1034.9,1036.6,1039.4,1036.4,1043.4,1055.3,1049.2,1047.9,1045.7,1044.1,1057.3,1077.1,1087.9,1086.5,1082.7,1080.4,1085.6,1085.8,1088.6,1098.4,1100.0,1114.8,1118.2,1106.8,1109.9,1114.8,1112.0,1117.8,1118.5,1112.7,1117.8,1118.7,1124.5,1131.5,1139.1,1147.3,1146.8,1158.7,1164.0,1164.4,1166.2,1171.8,1181.1,1185.1,1192.2,1202.8,1208.2,1215.4,1224.8,1225.1,1227.9,1235.6,1234.5,1239.8,1244.6,1248.7,1249.6,1248.6,1250.9,1247.8,1247.0,1248.9,1251.3,1249.8,1258.9,1262.2,1261.3,1267.4,1276.9,1279.5,1287.4,1293.9,1297.6,1295.3,1302.3,1299.7,1308.1,1314.9,1317.1,1322.4,1321.5,1332.1,1337.0,1347.0,1344.5,1349.7,1350.4,1356.4,1359.5,1363.2,1370.5,1370.8,1370.1,1376.9,1379.7,1395.8,1401.5,1424.2,1411.7,1409.9,1414.5,1412.2,1421.1,1422.1,1429.9,1430.0,1432.3,1452.6,1465.3,1436.3,1324.8,1368.4,1413.8,1430.4,1446.2,1469.1,1491.4,1520.4,1503.0,1529.9,1505.8,1520.1,1550.7,1575.7,1594.3,1607.3,1612.8,1631.4,1659.4,1677.1,1696.4,1692.0,1709.3,1711.5,1709.6,1708.9,1710.5,1744.5,1759.0,1773.5,1769.0,1760.8,1757.8,1785.8,1794.7,1789.1,1799.5,1800.2,1816.9,1824.1,1825.7,1832.6,1829.8,1836.1,1854.5,1850.6,1868.5,1874.4,1873.3,1882.2,1880.5,1884.2,1890.6,1890.4,1901.8,1895.8,1902.0,1907.7,1925.9,1932.5,1945.2,1950.0,1951.0,1964.6,1970.5,1978.5
7,"        Other services-producing industries1",2239.0,2259.0,2266.3,2249.1,2242.3,2240.2,2230.1,2231.7,2228.3,2230.0,2233.6,2237.3,2235.1,2232.5,2239.8,2256.3,2262.7,2279.6,2265.0,2275.1,2282.8,2287.7,2288.1,2281.6,2272.0,2275.3,2287.7,2308.3,2338.4,2352.3,2368.3,2381.0,2389.6,2400.3,2421.0,2422.8,2430.4,2434.0,2447.0,2461.6,2494.9,2503.9,2530.2,2547.0,2556.5,2574.7,2573.2,2581.9,2581.1,2587.1,2592.2,2611.6,2622.7,2641.0,2669.5,2678.2,2700.1,2717.5,2733.4,2745.5,2787.4,2806.2,2820.2,2838.0,2822.8,2834.7,2848.9,2855.3,2879.4,2900.6,2929.3,2970.4,3010.3,3044.0,3051.1,3033.4,3027.9,3038.0,3049.2,3052.8,3071.3,3078.1,3097.4,3126.5,3132.5,3144.4,3152.9,3138.4,3138.7,3136.1,3141.8,3155.8,3163.0,3173.1,3147.5,3092.3,3009.8,2969.7,2967.6,3015.4,3048.7,3057.2,3045.5,3040.3,3040.5,3055.7,3075.0,3078.2,3057.3,3045.1,3058.8,3097.5,3127.3,3134.3,3151.1,3165.5,3167.1,3185.5,3188.2,3213.2,3244.7,3269.6,3270.5,3268.2,3271.9,3291.3,3331.2,3323.0,3317.4,3292.6,3282.5,3320.0,3371.5,3412.5,3442.8,3452.4,3442.0,3444.5,3432.5,3456.2,3515.7,3552.9,3613.6,3670.6,3566.5,3550.7,3547.0,3576.5,3598.1,3611.9,3595.0,3599.7,3606.9,3616.5,3649.9,3678.2,3724.9,3756.6,3777.0,3764.9,3762.8,3769.0,3791.9,3822.4,3841.4,3863.7,3897.2,3923.0,3947.3,3964.7,3979.5,3997.6,4029.0,4041.9,4056.4,4069.9,4076.9,4097.7,4100.0,4117.5,4132.9,4127.7,4140.1,4156.8,4158.0,4177.1,4200.4,4204.0,4232.4,4248.9,4265.7,4280.9,4305.1,4324.6,4331.2,4358.3,4377.3,4397.3,4421.7,4440.3,4477.5,4514.5,4547.3,4569.9,4579.4,4573.8,4589.1,4615.6,4636.5,4663.0,4695.6,4721.2,4721.2,4719.8,4726.8,4767.8,4828.6,4869.9,4899.9,4897.9,4889.3,4896.7,4895.0,4929.2,4945.4,5000.2,5031.8,5013.9,5127.6,5174.5,5025.6,4533.8,4740.4,4891.7,4925.0,4975.6,5029.4,5179.8,5246.1,5294.0,5297.3,5277.2,5308.4,5415.1,5487.1,5559.1,5624.9,5651.4,5702.6,5795.9,5851.2,5893.3,5877.3,5902.1,5929.7,5940.0,5961.7,5995.7,6081.8,6128.7,6176.6,6145.9,6132.0,6137.4,6186.9,6207.2,6234.5,6266.0,6301.1,6337.0,6376.2,6408.5,6429.4,6442.3,6472.8,6509.0,6527.9,6576.9,6615.3,6638.9,6684.1,6695.9,6728.4,6774.4,6805.3,6844.7,6900.6,6928.8,6950.5,6978.9,7022.8,7055.0,7086.6,7085.1,7130.8,7166.8,7191.1
8,Government,797.9,802.0,805.4,809.3,813.0,819.7,824.6,829.0,833.2,838.2,843.9,847.8,851.6,854.8,859.1,862.8,868.6,873.1,876.0,880.9,882.4,885.4,888.5,891.3,895.8,901.3,906.5,909.4,911.1,915.3,918.2,917.5,917.5,922.0,924.1,928.7,932.6,936.2,941.0,945.7,948.3,950.8,953.3,956.7,959.8,964.0,968.6,971.1,975.1,977.7,980.6,983.5,986.8,988.0,992.5,995.0,999.0,1001.5,1006.0,1010.0,1010.7,1014.6,1018.5,1022.5,1025.7,1029.2,1035.8,1041.6,1048.4,1050.7,1055.7,1060.9,1066.9,1072.4,1075.5,1077.4,1080.1,1084.1,1087.4,1094.0,1099.4,1102.7,1108.2,1114.4,1119.8,1125.2,1129.4,1132.0,1135.6,1140.4,1146.6,1151.2,1155.7,1161.5,1164.6,1164.2,1162.5,1162.3,1163.6,1174.9,1175.1,1178.1,1178.5,1180.6,1177.9,1182.2,1184.0,1183.0,1184.3,1184.9,1188.0,1190.4,1201.5,1197.9,1195.0,1191.9,1186.9,1190.5,1191.2,1191.6,1192.5,1192.5,1194.2,1197.1,1198.1,1202.5,1200.0,1198.5,1194.4,1190.3,1188.1,1190.1,1196.4,1199.5,1200.0,1197.0,1194.8,1195.6,1195.0,1196.6,1198.9,1200.6,1201.6,1203.7,1205.0,1207.1,1207.1,1206.9,1206.5,1206.8,1200.3,1202.9,1211.3,1211.7,1214.4,1216.0,1218.8,1222.0,1224.8,1227.6,1229.3,1234.8,1238.7,1240.2,1245.4,1249.8,1253.8,1257.4,1260.2,1263.5,1265.8,1270.5,1273.0,1275.4,1278.5,1280.7,1281.4,1283.9,1286.9,1289.1,1291.3,1294.1,1297.9,1300.3,1303.1,1304.3,1311.4,1313.3,1317.6,1318.7,1320.1,1324.3,1328.1,1331.8,1334.7,1336.5,1339.9,1344.6,1350.5,1352.0,1357.3,1362.8,1367.6,1372.9,1376.7,1382.5,1385.5,1389.8,1393.8,1401.3,1405.8,1412.5,1416.3,1418.2,1418.9,1421.2,1421.9,1423.6,1427.2,1432.6,1433.5,1442.3,1449.2,1459.6,1467.9,1473.7,1482.4,1490.3,1503.4,1515.6,1520.7,1475.8,1455.4,1466.9,1480.5,1508.8,1507.0,1502.2,1496.9,1497.8,1505.9,1507.1,1514.5,1520.4,1525.3,1540.4,1555.8,1567.0,1570.6,1570.3,1574.1,1580.9,1587.4,1592.5,1596.3,1601.1,1605.3,1609.7,1624.4,1630.2,1638.3,1647.0,1657.9,1665.2,1678.7,1687.5,1694.1,1700.8,1710.1,1723.1,1738.3,1750.7,1762.6,1770.6,1778.3,1788.0,1799.3,1811.8,1824.7,1829.8,1837.9,1844.4,1852.0,1859.6,1868.2,1878.6,1886.8,1896.4,1904.2,1909.4,1915.4,1926.0,1928.0,1935.1,1941.9,1945.7,1952.8

Legend/Footnotes
"1. Other services-producing industries consists of information; finance and insurance; real estate and rental and leasing; professional, scientific, and technical services; management of companies and enterprises, administrative and support and waste management and remediation services; educational services; health care and social assistance; arts, entertainment, and recreation; accommodation and food services; and other services."
Note. Estimates in this table are based on the 2017 North American Industry Classification System (NAICS).
